name	taxonomy_id	taxonomy_lvl	sample_Neg_num	sample_Neg_frac	sample_No-Tube-1_num	sample_No-Tube-1_frac	sample_No-Tube-2_num	sample_No-Tube-2_frac	sample_Pos_num	sample_Pos_frac
Staphylococcus aureus	1280	S	67518	0.41932	4635806	0.11367	7410	0.18871	15138222	0.16263
Staphylococcus epidermidis	1282	S	529	0.00329	1390	0.00003	173	0.00441	3817	0.00004
Staphylococcus hominis	1290	S	134	0.00083	766	0.00002	25	0.00064	1900	0.00002
Staphylococcus capitis	29388	S	132	0.00082	250	0.00001	76	0.00194	832	0.00001
Staphylococcus cohnii	29382	S	38	0.00024	293	0.00001	0	0.00000	927	0.00001
Staphylococcus warneri	1292	S	38	0.00024	349	0.00001	0	0.00000	1089	0.00001
Staphylococcus pasteuri	45972	S	32	0.00020	241	0.00001	0	0.00000	824	0.00001
Staphylococcus pettenkoferi	170573	S	27	0.00017	124	0.00000	0	0.00000	394	0.00000
Staphylococcus haemolyticus	1283	S	27	0.00017	476	0.00001	32	0.00081	1122	0.00001
Staphylococcus auricularis	29379	S	24	0.00015	273	0.00001	0	0.00000	924	0.00001
Staphylococcus saprophyticus	29385	S	15	0.00009	683	0.00002	0	0.00000	1506	0.00002
Staphylococcus caprae	29380	S	11	0.00007	364	0.00001	0	0.00000	1265	0.00001
Auricoccus indicus	1849491	S	11	0.00007	39	0.00000	0	0.00000	95	0.00000
Bacillus sp. BD59S	2499213	S	44	0.00027	3967	0.00010	12	0.00031	10040	0.00011
Bacillus sp. Y1	352858	S	11	0.00007	196	0.00000	0	0.00000	484	0.00001
Bacillus litoralis	152268	S	32	0.00020	308	0.00001	0	0.00000	727	0.00001
Bacillus megaterium	1404	S	19	0.00012	1789	0.00004	0	0.00000	4409	0.00005
Gemella haemolysans	1379	S	43	0.00027	65	0.00000	0	0.00000	173	0.00000
Gemella morbillorum	29391	S	18	0.00011	40	0.00000	0	0.00000	65	0.00000
Exiguobacterium sp. AT1b	360911	S	12	0.00007	21	0.00000	0	0.00000	65	0.00000
Exiguobacterium mexicanum	340146	S	20	0.00012	0	0.00000	0	0.00000	14	0.00000
Brochothrix thermosphacta	2756	S	31	0.00019	97	0.00000	0	0.00000	216	0.00000
Listeria monocytogenes	1639	S	23	0.00014	3191207	0.07825	0	0.00000	12471197	0.13398
Planococcus sp. MB-3u-03	2058136	S	12	0.00007	467	0.00001	0	0.00000	1021	0.00001
Streptococcus thermophilus	1308	S	175	0.00109	174	0.00000	11	0.00028	486	0.00001
Streptococcus mitis	28037	S	118	0.00073	217	0.00001	43	0.00110	568	0.00001
Streptococcus sanguinis	1305	S	116	0.00072	163	0.00000	26	0.00066	202	0.00000
Streptococcus sp. A12	1759399	S	14	0.00009	12	0.00000	0	0.00000	27	0.00000
Streptococcus sp. oral taxon 431	712633	S	13	0.00008	19	0.00000	0	0.00000	50	0.00000
Streptococcus oralis	1303	S	52	0.00032	155	0.00000	23	0.00059	196	0.00000
Streptococcus gordonii	1302	S	40	0.00025	57	0.00000	34	0.00087	191	0.00000
Streptococcus pneumoniae	1313	S	31	0.00019	189	0.00000	0	0.00000	313	0.00000
Streptococcus cristatus	45634	S	29	0.00018	25	0.00000	0	0.00000	72	0.00000
Streptococcus salivarius	1304	S	19	0.00012	132	0.00000	0	0.00000	270	0.00000
Streptococcus parasanguinis	1318	S	11	0.00007	10	0.00000	0	0.00000	23	0.00000
Streptococcus pseudopneumoniae	257758	S	11	0.00007	20	0.00000	0	0.00000	43	0.00000
Lactococcus lactis	1358	S	42	0.00026	218	0.00001	11	0.00028	498	0.00001
Lactobacillus fermentum	1613	S	46	0.00029	7228016	0.17724	0	0.00000	13947454	0.14984
Lactobacillus plantarum	1590	S	14	0.00009	1485	0.00004	0	0.00000	3315	0.00004
Lactobacillus jensenii	109790	S	11	0.00007	124	0.00000	0	0.00000	218	0.00000
Lactobacillus iners	147802	S	10	0.00006	21	0.00000	0	0.00000	64	0.00000
