#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	sample_Neg	sample_No-Tube-1	sample_No-Tube-2	sample_Pos
k__Bacteria	100.0	99.2397	100.0	99.24829
k__Bacteria|p__Actinobacteria	96.86071	0.02836	100.0	0.03513
k__Bacteria|p__Proteobacteria	3.13929	44.73846	0.0	31.95287
k__Bacteria|p__Actinobacteria|c__Actinobacteria	96.86071	0.02836	100.0	0.03513
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.13929	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	96.86071	0.02836	100.0	0.03226
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3.13929	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	96.86071	0.02836	100.0	0.03226
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	3.13929	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	96.86071	0.02836	100.0	0.03226
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium	3.13929	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	96.86071	0.02836	100.0	0.03226
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_olei	2.07405	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_sp_NJ1	1.06524	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	96.86071	0.02836	100.0	0.03226
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_olei|t__SGB22427	2.07405	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_sp_NJ1|t__SGB12784	1.06524	0.0	0.0	0.0
